"temp_C","precp_cm","order","hole","piece","group","id"
-9.94478004673945,1.37525736383782,1,FALSE,"1","0.1","0"
-11.7315578464895,1.60143176886947,2,FALSE,"1","0.1","0"
-13.4844094854848,2.73230379402774,3,FALSE,"1","0.1","0"
-14.671825111901,4.54169903428097,4,FALSE,"1","0.1","0"
-15.4068919282539,7.48196629969247,5,FALSE,"1","0.1","0"
-15.5991401725308,9.17827433742987,6,FALSE,"1","0.1","0"
-15.621757613034,11.8923671978097,7,FALSE,"1","0.1","0"
-15.5312878510213,14.6064600581896,8,FALSE,"1","0.1","0"
-15.1241739219643,17.3205529185694,9,FALSE,"1","0.1","0"
-14.2420937423409,20.7131689940442,10,FALSE,"1","0.1","0"
-12.5797118653582,26.706790727383,11,FALSE,"1","0.1","0"
-11.0304171908914,32.9265868657535,12,FALSE,"1","0.1","0"
-9.80907540372046,40.7296038393455,13,FALSE,"1","0.1","0"
-8.52104511967345,51.0772641153068,14,FALSE,"1","0.1","0"
-7.71406595218367,60.3376807914191,15,FALSE,"1","0.1","0"
-6.77479511789228,71.3178891359523,16,FALSE,"1","0.1","0"
-6.04719095048345,80.7105974788662,17,FALSE,"1","0.1","0"
-5.01531594943094,94.303566242731,18,FALSE,"1","0.1","0"
-4.53906594894517,101.315024583216,19,FALSE,"1","0.1","0"
-4.11573261518003,106.60669125528,20,FALSE,"1","0.1","0"
-4.43323261550388,94.1712745759294,21,FALSE,"1","0.1","0"
-4.65812844906661,80.5452328953642,22,FALSE,"1","0.1","0"
-4.9623992827103,66.2577328807909,23,FALSE,"1","0.1","0"
-5.22698261631351,54.4837745354481,24,FALSE,"1","0.1","0"
-5.51802428327704,42.842107856907,25,FALSE,"1","0.1","0"
-5.82229511692073,33.4493995139931,26,FALSE,"1","0.1","0"
-6.04719095048345,27.2316911743177,27,FALSE,"1","0.1","0"
-6.39114928416762,21.4108578350471,28,FALSE,"1","0.1","0"
-6.51021178428907,19.0296078326182,29,FALSE,"1","0.1","0"
-7.47594095194078,13.4733578269509,30,FALSE,"1","0.1","0"
-8.24323261939008,8.84314948889471,31,FALSE,"1","0.1","0"
-8.89146178671794,5.1389828184498,32,FALSE,"1","0.1","0"
-9.94478004673945,1.37525736383782,33,FALSE,"1","0.1","0"
-4.11573261518003,106.60669125528,1,FALSE,"1","1.1","1"
-1.61735238872008,140.122712496678,2,FALSE,"1","1.1","1"
0.340564279943658,165.059691688781,3,FALSE,"1","1.1","1"
1.34598094763585,176.039900033314,4,FALSE,"1","1.1","1"
2.51014761548997,186.358650043839,5,FALSE,"1","1.1","1"
3.80660595014569,196.280525053959,6,FALSE,"1","1.1","1"
4.29608511731162,200.249275058007,7,FALSE,"1","1.1","1"
4.04473095038857,193.634691717927,8,FALSE,"1","1.1","1"
3.78014761678537,186.094066710236,9,FALSE,"1","1.1","1"
3.55525178322264,177.36281670133,10,FALSE,"1","1.1","1"
3.35681428302023,166.911775024003,11,FALSE,"1","1.1","1"
3.21129344953847,159.900316683518,12,FALSE,"1","1.1","1"
3.14514761613766,156.328441679875,13,FALSE,"1","1.1","1"
3.09223094941702,152.756566676231,14,FALSE,"1","1.1","1"
3.02608511601622,144.686775001334,15,FALSE,"1","1.1","1"
2.85410594917414,117.864639557308,16,FALSE,"1","1.1","1"
2.74827261573285,97.6240145366629,17,FALSE,"1","1.1","1"
2.69535594901221,89.554222861765,18,FALSE,"1","1.1","1"
2.64243928229157,84.5602124400045,19,FALSE,"1","1.1","1"
2.54983511553045,79.6654207683451,20,FALSE,"1","1.1","1"
2.41754344872884,73.7122957622729,21,FALSE,"1","1.1","1"
2.2323351152066,68.1560457566056,22,FALSE,"1","1.1","1"
2.04712678168435,63.1289624181446,23,FALSE,"1","1.1","1"
1.67671011463986,56.646670744866,24,FALSE,"1","1.1","1"
1.21368928083425,50.8258374055954,25,FALSE,"1","1.1","1"
0.71098094698815,45.6664624003328,26,FALSE,"1","1.1","1"
0.155355946421412,41.6977123962847,27,FALSE,"1","1.1","1"
-0.307664887384203,38.3904207262446,28,FALSE,"1","1.1","1"
-1.54789926364924,34.7193269725001,29,FALSE,"1","1.1","1"
-2.96342009842641,30.4859936348488,30,FALSE,"1","1.1","1"
-4.14081593296068,26.7818269644038,31,FALSE,"1","1.1","1"
-4.89487843372983,24.400576961975,32,FALSE,"1","1.1","1"
-5.60925343445849,21.8870352927445,33,FALSE,"1","1.1","1"
-6.51021178428907,19.0296078326182,34,FALSE,"1","1.1","1"
-6.39114928416762,21.4108578350471,35,FALSE,"1","1.1","1"
-6.04719095048345,27.2316911743177,36,FALSE,"1","1.1","1"
-5.82229511692073,33.4493995139931,37,FALSE,"1","1.1","1"
-5.51802428327704,42.842107856907,38,FALSE,"1","1.1","1"
-5.22698261631351,54.4837745354481,39,FALSE,"1","1.1","1"
-4.9623992827103,66.2577328807909,40,FALSE,"1","1.1","1"
-4.65812844906661,80.5452328953642,41,FALSE,"1","1.1","1"
-4.43323261550388,94.1712745759294,42,FALSE,"1","1.1","1"
-4.11573261518003,106.60669125528,43,FALSE,"1","1.1","1"
4.29608511731162,200.249275058007,1,FALSE,"1","2.1","2"
6.57480907796925,217.678702159119,2,FALSE,"1","2.1","2"
9.41907991420374,240.432868848995,3,FALSE,"1","2.1","2"
11.4563715829484,256.440160531989,4,FALSE,"1","2.1","2"
12.9248090844462,268.214118877331,5,FALSE,"1","2.1","2"
14.720668461278,281.939379307998,6,FALSE,"1","2.1","2"
16.6256684632211,297.285212656984,7,FALSE,"1","2.1","2"
